"","ID_FloraAlpina","ID","SpeciesName","CompleteName","Repr_mode","Repr_mode_summ","GS","1C","Ploidy","Ploidy_summ","PloidyEvenOdd","Chr.number","GS_per_chrm","Altitude","elevation_Ozenda","Longevity","BiologicalForm","Endemic","Indigenous","Distribution","Sect_Occ","Collinaire","Montane","Subalpine","Alpine","Nival","Init.month","Tot.months","End.month","Phytosociology","Habitat","Ca","Ca.Si","Si","pH","N","Water","w"
"Inula_conyzae","124.16.11.0","IT85","Inula_conyzae","Inula conyzae (Griess.) Meikle","Sexual","Sexual",8.32,2.08,"4x","4x","Even",32,0.26,595,700,"b, v","H","N","Y","Eurasiat./N-Afr.",51,2,2,0,0,0,6,5,10,"Origanetalia vulgaris","(2.1.2), 2.6, (3.2, 6.2), 6.7, 7.4.2, 9.1.1, 9.2.4, 9.3",2,1,0,"bas","low","Dry",0
"Inula_helvetica","124.16.2.0","FR522","Inula_helvetica","Inula helvetica Weber","Sexual","Sexual",4.54,2.27,"2x","2x","Even",16,0.28375,1440,583.333333333333,"v","H","N","Y","SW-Eur.",10,2,1,0,0,0,7,3,9,"Convolvuletalia sepium","2.3, 2.5.1, (5.1, 6.3.2),7.2, (7.5, 9.2.2)",2,2,1,"bas","med","Wet",1
"Inula_bifrons","124.16.12.0","FR143","Inula_bifrons","Inula bifrons (L.) L.","Sexual","Sexual",5.07,2.535,"2x","2x","Even",16,0.316875,1172,910,"b, v","H","N","Y","S-Eur.",9,2,2,1,0,0,7,3,9,"Geranion sanguinei","2.1, (2.2, 3.2, 3.3), 6.2, 6.7, 7.4.2, 9.3",2,2,1,"bas","low","Dry",0
"Antennaria_dioica","124.12.1.0","FR243","Antennaria_dioica","Antennaria dioica (L.) Gaertn.","Sexual","Sexual",7.3805,1.845125,"4x","4x","Even",28,0.263589285714286,2183.66666666667,1633.33333333333,"v","C","N","Y","Eurosib./N-Am.",55,1,1,2,2,0,6,3,8,"Nardetea strictae","(2.6, 3.1, 3.3, 6.2, 6.3.2), 6.4, 6.5, 7.1, 9.1.1, 9.1.2, (9.2.4)",1,2,2,"aci","low","Dry",0
"Gnaphalium_sylvaticum","124.10.1.0","FR684","Gnaphalium_sylvaticum","Gnaphalium sylvaticum L.","Sexual","Sexual",4.26,0.5325,"8x","Poly","Even",56,0.0760714285714286,2178,1400,"v","H","N","Y","Eurosib./N-Am.",52,1,2,2,1,0,6,4,9,"Epilobietea angustifolii","2.6, 6.4, 7.1, (7.2. 9.1.1?)",1,2,2,"aci","med","Average",0
"Helichrysum_italicum","124.11.2.0","FR730","Helichrysum_italicum","Helichrysum italicum (Roth) G. Don","Sexual","Sexual",2.98,0.745,"4x","4x","Even",28,0.106428571428571,659,350,"t","C","N","Y","S-Eur.",2,2,0,0,0,0,6,2,7,"NEO_Rosmarinetea","3.2, (3.3), 6.2, 7.3",2,2,2,"bas","low","veryDry",0
"Antennaria_carpatica","124.12.2.0","FR293","Antennaria_carpatica","Antennaria carpatica (Wahlenb.) Bluff & Fingerh.","Sexual","Sexual",17.263,2.157875,"8x","Poly","Even",56,0.308267857142857,2528,1925,"v","H","N","Y","S-Eur.-Mont.",44,0,1,1,2,0,6,3,8,"Oxytropido-Elynion","(3.2), 6.5, (7.1)",2,2,2,"neu","low","Dry",0
"Leontopodium_nivale_subsp._alpinum","124.13.1.0","IT100a","Leontopodium_nivale_subsp._alpinum","Leontopodium alpinum Cass.","Sexual","Sexual",4.02633333333333,1.00658333333333,"4x","4x","Even",24,0.167763888888889,1952.33333333333,1633.33333333333,"v","H","N","Y","S-Eur.-Mont.",48,1,1,2,2,0,7,3,9,"Seslerion variae","(2.5, 3.2, 3.3), 6.5, (9.1.2)",2,1,0,"bas","low","Dry",0
"Inula_montana","124.16.10.0","FR193","Inula_montana","Inula montana L.","Sexual","Sexual",3.5,1.75,"2x","2x","Even",16,0.21875,1380,910,"v","H","N","Y","Medit.",15,2,2,1,0,0,6,3,8,"Ononidetalia","(2.5.2), 3.2, (3.3), 6.2, 6.7",2,2,0,"bas","low","veryDry",0
"Buphthalmum_salicifolium","124.19.1.0","A9","Buphthalmum_salicifolium","Buphthalmum salicifolium L.","Sexual","Sexual",5.278,2.639,"2x","2x","Even",20,0.2639,1074.8,1050,"v","H","N","Y","S-Eur.-Mont.",54,2,2,2,0,0,6,4,9,"Geranion sanguinei","(3.2, 3.3, 5.1), 6.2, (6.3.2, 6.5.1), 6.7, (7.1, 7.4.2, 8.2, 9.1.1, 9.2.3), 9.3",2,2,1,"bas","low","Dry",1
"Solidago_virgaurea","124.2.1.2","FR341","Solidago_virgaurea","Solidago virgaurea subsp. minuta (L.) Arcang.","Sexual","Sexual",2.5265,1.26325,"2x","2x","Even",18,0.140361111111111,2112.33333333333,1890,"v","H","N","Y","Eur.-Mont.",42,0,1,2,2,0,7,4,10,"Juncetea trifidi","(2.5, 3.3, 6.3.1), 6.5, 7.1, (7.2, 8.2)",2,2,2,"aci","med","Average",0
"Xerolekia_speciosissima","124.20.2.0","IT98","Xerolekia_speciosissima","Telekia speciosissima (L.) Less.","Sexual","Sexual",3.07,1.535,"2x","2x","Even",20,0.1535,801,1050,"v","H","Y","Y","E-Alp.",4,2,2,2,0,0,6,2,7,"Physoplexido-Potentillenion caulescentis","3.2, 3.3, 6.2, (7.4.2)",2,0,0,"bas","low","Dry",0
"Solidago_virgaurea_subsp._minuta","124.2.1.2","FR458","Solidago_virgaurea_subsp._minuta","Solidago virgaurea subsp. minuta (L.) Arcang.","Sexual","Sexual",2.58,1.29,"2x","2x","Even",18,0.143333333333333,2553,1890,"v","H","N","Y","Eur.-Mont.",42,0,1,2,2,0,7,4,10,"Juncetea trifidi","(2.5, 3.3, 6.3.1), 6.5, 7.1, (7.2, 8.2)",2,2,2,"aci","med","Average",0
"Xanthium_italicum","124.27.2.0","IT81","Xanthium_italicum","Xanthium italicum Moretti","Sexual","Sexual",4.87,1.2175,"4x","4x","Even",36,0.135277777777778,345,350,"a","T","N","N","?(-Subcosmop.)",16,2,0,0,0,0,7,4,10,"NEO_Bidentetea tripartitae","(2.1), 2.2, 2.5",2,2,2,"neu","hig","Average",0
"Bidens_bipinnata","124.23.5.0","IT75","Bidens_bipinnata","Bidens bipinnata L.","Sexual","Sexual",10.24,1.70666666666667,"6x","Poly","Even",72,0.142222222222222,145,350,"a","T","N","N","N-Am./E-Asiat.",20,2,0,0,0,0,7,3,9,"NEO_Stellarienea mediae","2.1, 2.2, (3.2, 7.4.2)",2,2,2,"neu","hig","Average",1
"Inula_salicina","124.16.4.0","FR185","Inula_salicina","Inula salicina L.","Sexual","Sexual",3.73,1.865,"2x","2x","Even",16,0.233125,1380,700,"v","H","N","Y","Eurasiat.",48,2,2,0,0,0,6,4,9,"Molinion","1.4, (2.6), 5.1, 6.2, 6.3.2, 6.7, (7.4.2, 9.1.1, 9.2.2, 9.3)",2,2,1,"bas","low","Average",1
"Pulicaria_dysenterica","124.17.2.0","MB94","Pulicaria_dysenterica","Pulicaria dysenterica (L.) Bernh.","Sexual","Sexual",2.135,1.0675,"2x","2x","Even",18,0.118611111111111,339.5,700,"v","H","N","Y","Medit.",50,2,2,0,0,0,7,4,10,"Potentillo-Polygonetalia","1.4, (2.2), 2.5.1, 6.3.2, 7.2, (9.2.2)",2,2,2,"neu","med","Wet",1
"Inula_spiraefolia","124.16.5.0","FR727","Inula_spiraefolia","Inula spiraeifolia L.","Sexual","Sexual",3.26,1.63,"2x","2x","Even",16,0.20375,609,700,"v","H","N","Y","S-Eur.",22,2,2,0,0,0,6,4,9,"Geranion sanguinei","3.1, 3.2, (3.5), 6.2, 6.7, 7.4.2, 9.3",2,1,0,"bas","low","veryDry",0
"Galinsoga_parviflora","124.28.1.0","IT74","Galinsoga_parviflora","Galinsoga parviflora Cav.","Sexual","Sexual",4.39,2.195,"2x","2x","Even",16,0.274375,145,583.333333333333,"a","T","N","N","S-Am.(-Cosmop.)",44,2,1,0,0,0,5,6,10,"Panico-Setarion","2.1.1, 2.2, 2.7",1,2,2,"aci","hig","Average",0
"Cota_tinctoria","124.30.7.1","FR608","Cota_tinctoria","Anthemis tinctoria L. subsp. tinctoria","Sexual","Sexual",9.79,4.895,"2x","2x","Even",18,0.543888888888889,1607.5,910,"b, v, t","H, C","N","Y","Eur./W-Asiat.",25,2,2,1,0,0,6,4,9,"Convolvulo-Agropyrion repentis","2.1, 2.2, (3.3, 6.2)",2,2,2,"neu","low","veryDry",0
"Eupatorium_cannabinum","124.1.1.0","IT71","Eupatorium_cannabinum","Eupatorium cannabinum L.","Sexual","Sexual",5.66,2.83,"2x","2x","Even",20,0.283,198,910,"v","H","N","Y","Eurasiat.",55,2,2,1,0,0,7,3,9,"Convolvuletalia sepium","(1.3, 1.4, 2.1.2, 2.2), 2.5.1, (2.6, 4.2, 5.1, 6.3.2), 7.2, (9.2.1, 9.2.2)",2,2,1,"bas","hig","Wet",0
"Laphangium_luteoalbum","124.10.6.0","CH157","Laphangium_luteoalbum","Gnaphalium luteoalbum L.","Sexual","Sexual",2.24,1.12,"2x","2x","Even",14,0.16,752,350,"a","T","N","Y","Cosmop.",26,2,0,0,0,0,6,4,9,"Isoëto-Nanojuncetea","1.4, 2.1, (2.6)",2,2,2,"neu","med","Wet",1
"Gnaphalium_supinum","124.10.4.0","FR660","Gnaphalium_supinum","Gnaphalium supinum L.","Sexual","Sexual",2.62,0.655,"4x","4x","Even",28,0.0935714285714286,2431,2575,"v","H","N","Y","Arct.-Alp.",44,0,0,1,2,1,7,2,8,"Salicion herbaceae","(2.5, 3.2), 3.3, 6.5, 6.6",1,2,2,"aci","low","Wet",0
"Petasites_paradoxus","124.42.3.0","CH13","Petasites_paradoxus","Petasites paradoxus (Retz.) Baumg.","Sexual","Sexual",12.39,3.0975,"4x","4x","Even",120,0.10325,657,1633.33333333333,"v","G","N","Y","S-Eur.-Mont.",47,1,1,2,2,0,3,3,5,"Petasitenion paradoxi","2.5, 3.3, (6.5.1, 7.2, 7.5, 9.1.1, 9.2.2)",2,1,0,"bas","low","Wet",1
"Homogyne_alpina","124.43.1.0","FR473","Homogyne_alpina","Homogyne alpina (L.) Cass.","Sexual","Sexual",14.685,2.4475,"6x","Poly","Even",120,0.122375,2532,1921.42857142857,"v","H","N","Y","S-Eur.-Mont.",51,1,1,2,2,1,5,3,7,"Piceetalia excelsae","(3.2, 3.3, 3.4, 4.1, 5.1, 6.3.1, 6.4), 6.5, (6.6), 7.1, (7.2, 8.1), 8.2, (9.1.1), 9.1.2",2,2,2,"neu","low","Average",0
"Artemisia_genipi","124.40.13.0","Italy, Valle dâ€™Aosta, Cogne de Scaletta","Artemisia_genipi","Artemisia genipi Weber","Sexual","Sexual",5.6,2.8,"2x","2x","Even",16,0.35,2280,2410,"v","C","Y","Y","Alp.",35,0,0,2,2,1,7,3,9,"Drabion hoppeanae","(2.5), 3.2, 3.3, 6.5",2,2,2,"neu","low","Dry",0
"Artemisia_vulgaris","124.40.1.0","CH137","Artemisia_vulgaris","Artemisia vulgaris L.","Sexual","Sexual",6.62,3.31,"2x","2x","Even",16,0.41375,894,910,"v","H","N","Y","Eurasiat.",54,2,2,1,0,0,7,4,10,"Artemisietea vulgaris","2.1, 2.2, 2.5, (7.2, 7.5, 9.2.2)",2,2,2,"neu","hig","Average",1
"Artemisia_nitida","124.40.11.0","J. Bot Gracilly, Italy","Artemisia_nitida","Artemisia nitida Bertol.","Sexual","Sexual",18.52,3.08666666666667,"6x","Poly","Even",54,0.342962962962963,2120,1610,"v","(H), C","N","Y","E-Alp./Apen.",9,0,2,2,1,0,8,2,9,"Potentillion caulescentis","3.2, 6.5",2,1,0,"bas","low","Dry",0
"Artemisia_glacialis","124.40.15.0","Italy, Valle dâ€™Aosta, Valnontey","Artemisia_glacialis","Artemisia glacialis L.","Sexual","Sexual",8.52,4.26,"2x","2x","Even",16,0.5325,2200,2410,"v","C","Y","Y","W-Alp.",10,0,0,2,2,1,7,2,8,"Asplenietea trichomanis","3.2, 3.3, (6.5)",2,2,2,"neu","low","Dry",0
"Artemisia_absinthium","124.40.3.0","CH138","Artemisia_absinthium","Artemisia absinthium L.","Sexual","Sexual",9.87,4.935,"2x","2x","Even",18,0.548333333333333,894,1050,"v, t","(H), C","N","Y","Eurasiat.",50,2,2,2,0,0,7,3,9,"Onopordetalia acanthii","(2.1), 2.2, (2.5.2, 2.6, 3.2, 3.3), 6.2, (7.4.2, 9.2.2); 2.9.1",2,2,2,"bas","hig","Dry",0
"Artemisia_umbelliformis_subsp._eriantha","124.40.12.0","France, Alpes-Maritimes, Pas des Ladres","Artemisia_umbelliformis_subsp._eriantha","Artemisia eriantha Ten.","Sexual","Sexual",6.36,3.18,"2x","2x","Even",18,0.353333333333333,2440,2100,"v","C","N","Y","S-Eur.-Mont.",6,0,0,2,2,0,6,3,8,"Saxifragenion pedemontanae","3.2, (3.3)",1,1,2,"aci","low","Dry",0
"Homogyne_sylvestris","124.43.3.0","MB45","Homogyne_sylvestris","Homogyne sylvestris (Scop.) Cass.","Sexual","Sexual",9.22,2.305,"4x","4x","Even",60,0.153666666666667,1146,1190,"v","H","N","Y","E-Alp./Illyr.",3,1,2,2,0,0,5,2,6,"Aremonio-Fagion","7.1, 7.4.2, 8.2, 9.1.2, 9.2.3",2,1,0,"bas","low","Dry",0
"Petasites_albus","124.42.1.0","IT26","Petasites_albus","Petasites albus (L.) Gaertn.","Sexual","Sexual",6.32,3.16,"2x","2x","Even",60,0.105333333333333,880,1050,"v","G","N","Y","Eurasiat.",52,1,2,1,0,0,3,3,5,"Arunco-Petasition","2.6, 3.3, 4.2, 7.2, 7.4.2, 9.1.2, (9.2.2), 9.2.3, (9.2.4), 9.2.5",2,2,2,"neu","hig","Wet",1
"Tussilago_farfara","124.41.1.0","FR709","Tussilago_farfara","Tussilago farfara L.","Sexual","Sexual",3.89,0.648333333333333,"6x","Poly","Even",60,0.0648333333333333,1581,1250,"v","G","N","Y","Eurasiat.",55,2,2,2,1,0,2,4,5,"Agropyretea intermedii-repentis","2.1, 2.2, 2.5, 2.6, 3.3, 3.5, (4.2, 6.3.2, 7.5)",2,2,2,"bas","med","Average",1
"Aster_alpinus","124.4.6.0","FR321","Aster_alpinus","Aster alpinus L.","Sexual","Sexual",7.73666666666667,3.86833333333333,"2x","2x","Even",18,0.429814814814815,1863.5,1633.33333333333,"v","H","N","Y","Arct.-Alp.",50,1,1,2,2,0,6,3,8,"Elyno-Seslerietea variae","(3.2, 6.2), 6.5, (7.1, 9.1.1)",2,2,2,"bas","low","Dry",0
"Doronicum_austriacum","124.46.1.0","A104","Doronicum_austriacum","Doronicum austriacum Jacq.","Sexual","Sexual",8.64,4.32,"2x","2x","Even",60,0.144,1650,1190,"v","G","N","Y","S-Eur.-Mont.",29,1,2,2,0,0,6,3,8,"Calamagrostietalia villosae","2.6, (3.4), 4.2, (7.1), 7.2, 8.1, 8.2, 9.1.2, 9.2.3",2,2,1,"bas","hig","Wet",0
"Arnica_montana","124.45.1.0","FR40","Arnica_montana","Arnica montana L.","Sexual","Sexual",3.348,0.837,"4x","4x","Even",38,0.0881052631578947,1947.16666666667,1633.33333333333,"v","H","N","Y","Eur.",53,1,1,2,2,0,6,3,8,"Nardion strictae","(5.1), 6.4, 6.5.1, 7.1, (7.2), 9.1.2",1,2,2,"aci","low","Average",1
"Adenostyles_alliariae","124.44.1.0","FR203","Adenostyles_alliariae","Adenostyles alliariae (Gouan) A. Kern.","Sexual","Sexual",18.7933333333333,4.69833333333333,"4x","4x","Even",38,0.494561403508772,1719,1750,"v","H","N","Y","S-Eur.-Mont.",50,0,1,2,1,0,6,4,9,"Adenostylion","(2.4, 3.3, 3.4, 4.2, 7.1), 7.2, 8.1, (8.2, 9.1.2, 9.2.3)",2,2,2,"neu","hig","Wet",0
"Adenostyles_leucophylla","124.44.3.0","FR631","Adenostyles_leucophylla","Adenostyles leucophylla (Willd.) Rchb.","Sexual","Sexual",19.105,4.77625,"4x","4x","Even",38,0.502763157894737,2337.75,1890,"v","H","Y","Y","W-Alp.",24,0,1,2,2,0,7,2,8,"Androsacetalia alpinae","3.3",1,1,2,"aci","low","Wet",0
"Adenostyles_alpina","124.44.2.0","FR437","Adenostyles_alpina","Adenostyles glabra (Mill.) DC.","Sexual","Sexual",18.78,4.695,"4x","4x","Even",38,0.494210526315789,1710,1470,"v","H","N","Y","S-Eur.-Mont.",53,1,1,2,1,0,6,3,8,"Petasition paradoxi","3.3, (4.2), 7.2, (8.2), 9.1.2, 9.2.3, 9.2.5",2,2,0,"bas","med","Wet",0
"Leucanthemum_adustum","124.39.2.1","FR250","Leucanthemum_adustum","Leucanthemum adustum (W. D. J. Koch) Gremli subsp. adustum","Sexual","Sexual",32.3015,4.2164375,"8x","Poly","Even",68.4,0.468493055555556,1923.3,1400,"v","H","N","Y","SW-Eur.-Mont.",34,1,2,2,1,0,6,3,8,"Seslerietalia variae","(2.2, 2.5.2, 3.2), 3.3, (6.2, 6.3.1), 6.5.1, 6.7, (7.1), 7.2, (7.4.2, 8.2, 9.1.1, 9.1.2, 9.2.3, 9.2.5)",2,2,1,"bas","low","Average",1
"Leucanthemopsis_alpina","124.37.1.0","FR688","Leucanthemopsis_alpina","Leucanthemopsis alpina (L.) Heywood","Sexual","Mixed",12.8131428571429,5.28692857142857,"2x","2x","Even",21.8571428571429,0.587436507936508,2512,2270,"v","H","N","Y","S-Eur.-Mont.",39,0,1,1,2,1,7,2,8,"Caricetalia curvulae","2.5, 3.2, 3.3, 6.5, 6.6, (7.1)",0,1,2,"aci","low","Average",0
"Leucanthemum_pallens","124.39.5.0","FR191","Leucanthemum_pallens","Leucanthemum pallens (J. Gay) DC.","Sexual","Sexual",28.47,4.745,"6x","Poly","Even",54,0.527222222222222,1380,700,"v","H","N","Y","Medit.",8,2,2,0,0,0,5,3,7,"Rosmarinetalia","(2.1.2, 2.2, 2.6), 6.2, 7.3, 9.3",2,1,0,"bas","low","veryDry",0
"Leucanthemum_atratum","124.39.8.3","FR296","Leucanthemum_atratum","Leucanthemum atratum subsp. coronopifolium (Vill.) Horvatic_'","Sexual","Sexual",27.21,4.535,"6x","Poly","Even",54,0.503888888888889,2378,1890,"v","H","Y","Y","W-Alp.",6,0,1,2,2,0,7,3,9,"Thlaspietalia rotundifolii","2.5, 3.2, 3.3, 4.2, 6.5.1, (8.2), 9.1.2",1,2,2,"neu","low","Average",0
"Leucanthemum_coronopifolium","124.39.8.3","FR444","Leucanthemum_coronopifolium","Leucanthemum atratum subsp. coronopifolium (Vill.) Horvatic_'","Sexual","Sexual",26.05,4.34166666666667,"6x","Poly","Even",54,0.482407407407407,2271.66666666667,1890,"v","H","Y","Y","W-Alp.",6,0,1,2,2,0,7,3,9,"Thlaspietalia rotundifolii","2.5, 3.2, 3.3, 4.2, 6.5.1, (8.2), 9.1.2",1,2,2,"neu","low","Average",0
"Leucanthemum_halleri","124.39.8.2","A63","Leucanthemum_halleri","Leucanthemum atratum subsp. halleri (Vitman) Heywood","Sexual","Sexual",10.85,5.425,"2x","2x","Even",18,0.602777777777778,1973,1925,"v","H","Y","Y","E-Alp.",20,0,1,1,2,0,7,3,9,"Thlaspion rotundifolii","(2.5), 3.3, (6.5.1)",2,0,0,"bas","low","Average",0
"Artemisia_umbelliformis_subsp._umbelliformis","124.40.10.0","FR698","Artemisia_umbelliformis_subsp._umbelliformis","Artemisia umbelliformis Lam.","Sexual","Sexual",14.08,3.52,"4x","4x","Even",16,0.88,2595,2575,"v","C","N","Y","Alp./Apen.",39,0,0,1,2,1,7,3,9,"Androsacenion vandellii","3.2, (3.3), 6.5",1,2,2,"neu","low","Average",0
"Arctium_lappa","124.56.2.0","FR140","Arctium_lappa","Arctium lappa L.","Sexual","Sexual",4.025,2.0125,"2x","2x","Even",36,0.111805555555556,1067.5,910,"b","H","N","Y","Eurasiat.",48,2,2,1,0,0,7,3,9,"Arction lappae","(1.4), 2.2, 2.5.1, 2.6, (7.4.2, 9.2.2, 9.2.5)",2,2,2,"neu","hig","Average",0
"Echinops_sphaerocephalus","124.54.1.0","TG-B","Echinops_sphaerocephalus","Echinops sphaerocephalus L.","Sexual","Sexual",8.31,4.155,"2x","2x","Even",30,0.277,1330,700,"v","H","N","Y","Eurasiat.",37,2,2,0,0,0,7,3,9,"Onopordion acanthii","2.1, 2.2, (2.5.2), 6.2, (7.4.2, 9.3); 2.9",2,2,1,"bas","hig","Dry",0
"Echinops_exaltatus","124.54.2.0","CH68","Echinops_exaltatus","Echinops exaltatus Schrad.","Sexual","Sexual",8.09,4.045,"2x","2x","Even",30,0.269666666666667,306,350,"v","H","N","N","SE-Eur.",5,2,0,0,0,0,6,3,8,"Arction lappae","2.1, 2.3, 2.5, (3.2, 7.4.2, 9.2.2)",2,2,1,"bas","hig","Wet",0
"Berardia_lanuginosa","124.55.1.0","FR251","Berardia_lanuginosa","Berardia subacaulis Vill.","Sexual","Sexual",3.01,0.7525,"4x","4x","Even",36,0.0836111111111111,1961,1890,"v","G","Y","Y","W-Alp.",8,0,1,2,2,0,7,2,8,"Thlaspion rotundifolii","(3.1), 3.3, (6.5.1)",2,2,0,"bas","low","Dry",0
"Echinops_ritro","124.54.3.0","FR481","Echinops_ritro","Echinops ritro L.","Sexual","Sexual",9.14,4.57,"2x","2x","Even",32,0.285625,1204,910,"v","H","N","Y","S-Eur./W-Asiat.",11,2,2,1,0,0,7,3,9,"Brachypodietalia phoenicoidis","2.1.2, 2.2, 6.2, 7.3",2,2,1,"bas","low","veryDry",0
"Jacobaea_abrotanifolia_subsp._abrotanifolia","124.48.22.0","IT101","Jacobaea_abrotanifolia_subsp._abrotanifolia","Senecio abrotanifolius L.","Sexual","Sexual",6.035,1.50875,"4x","4x","Even",40,0.150875,1906.5,1890,"v","H","N","Y","E-Alp./Illyr.",29,0,1,2,2,0,7,3,9,"Seslerion variae","(3.2, 3.3), 6.5.1, 7.1, 8.2, (9.1.1, 9.1.2)",2,2,2,"neu","med","Dry",0
"Jacobaea_incana_subsp._incana","124.48.2.1","FR692b","Jacobaea_incana_subsp._incana","Senecio incanus L. subsp. incanus","Sexual","Sexual",7.017625,1.75440625,"4x","4x","Even",40,0.175440625,2428.75,2410,"v","H","N","Y","W-Alp./Apen.",15,0,0,2,2,1,7,3,9,"Caricion curvulae","(2.5), 3.2, 3.3, 6.4, 7.1",0,1,2,"aci","low","Dry",0
"Jacobaea_incana_subsp._carniolica","124.48.2.2","A65","Jacobaea_incana_subsp._carniolica","Senecio incanus subsp. carniolicus (Willd.) Braun-Blanq.","Sexual","Sexual",17.05,1.42083333333333,"12x","Poly","Even",120,0.142083333333333,2110,2410,"v","H","N","Y","E-Alp./Carpat.",17,0,0,2,2,1,7,3,9,"Caricion curvulae","3.2, 3.3, 7.1",0,1,2,"aci","low","Dry",0
"Gnaphalium_hoppeanum","124.10.3.0","FR642","Gnaphalium_hoppeanum","Gnaphalium hoppeanum W. D. J. Koch","Sexual","Sexual",2.8225,0.705625,"4x","4x","Even",28,0.100803571428571,2557.25,2216.66666666667,"v","H","N","Y","S-Eur.-Mont.",43,0,0,1,2,0,7,2,8,"Arabidion caeruleae","(2.5), 3.3, (6.5.1, 6.6)",2,1,0,"bas","low","Average",0
"Tanacetum_corymbosum","124.35.2.1","A11","Tanacetum_corymbosum","Tanacetum corymbosum (L.) Sch. Bip. subsp. corymbosum","Sexual","Sexual",21.39,5.3475,"4x","4x","Even",36,0.594166666666667,453,700,"v","H","N","Y","Eur.",30,2,2,0,0,0,6,3,8,"Quercetalia pubescenti-sessiliflorae","2.6, (6.2), 6.7, 7.4.2, 9.1.1, 9.2.3, (9.2.4), 9.3",2,1,0,"bas","low","Dry",0
"Bellidastrum_michelii","124.4.7.0","FR415","Bellidastrum_michelii","Aster bellidiastrum (L.) Scop.","Sexual","Sexual",3.53,1.765,"2x","2x","Even",18,0.196111111111111,1811,1400,"v","H","N","Y","S-Eur.-Mont.",52,1,2,2,1,0,5,2,6,"Elyno-Seslerietea variae","(3.2, 3.3), 4.1, (4.2), 5.1, 6.2, (8.2, 9.1.1, 9.2.3, 9.2.5?)",2,2,1,"bas","low","Average",1
"Doronicum_clusii","124.46.8.2","A64","Doronicum_clusii","Doronicum clusii subsp. villosum (Tausch) Vierh.","Sexual","Sexual",18.76,4.69,"4x","4x","Even",120,0.156333333333333,2110,2100,"v","G","N","Y","E-Alp./Carpat.",3,0,0,2,2,0,7,3,9,"Androsacion alpinae","3.2, 3.3",1,1,2,"aci","low","Average",0
