"","ID_FloraAlpina","SpeciesName","Elevation.in.strict.alpine.arc.from.wild.collection","Flowering.time..initiation.month.","Embryo.Ploidy.summ","Reproductive.mode","Repr_mode_summ","Apomixis_type"
"1","124.10.1.0","Gnaphalium_sylvaticum",2178,6,"Poly","Sexual","Sexual","Sexual"
"2","124.10.3.0","Gnaphalium_hoppeanum",2557.25,7,"4x","Sexual","Sexual","Sexual"
"3","124.10.4.0","Gnaphalium_supinum",2431,7,"4x","Sexual","Sexual","Sexual"
"4","124.10.6.0","Laphangium_luteoalbum",752,6,"2x","Sexual","Sexual","Sexual"
"5","124.1.1.0","Eupatorium_cannabinum",198,7,"2x","Sexual","Sexual","Apo-diplosporous"
"6","124.11.2.0","Helichrysum_italicum",659,6,"4x","Sexual","Sexual","Sexual"
"7","124.12.1.0","Antennaria_dioica",2183.66666666667,6,"4x","Sexual","Sexual","Apo-diplosporous"
"8","124.12.2.0","Antennaria_carpatica",2585.33333333333,6,"Poly","Sexual","Sexual","Apo-diplosporous"
"9","124.13.1.0","Leontopodium_nivale_subsp._alpinum",1952.33333333333,7,"4x","Sexual","Sexual","Diplosporous"
"10","124.16.10.0","Inula_montana",1380,6,"2x","Sexual","Sexual","Sexual"
"11","124.16.11.0","Inula_conyzae",595,6,"4x","Sexual","Sexual","Sexual"
"12","124.16.12.0","Inula_bifrons",1172,7,"2x","Sexual","Sexual","Sexual"
"13","124.16.2.0","Inula_helvetica",1440,7,"2x","Sexual","Sexual","Sexual"
"14","124.16.4.0","Inula_salicina",1380,6,"2x","Sexual","Sexual","Sexual"
"15","124.16.5.0","Inula_spiraefolia",609,6,"2x","Sexual","Sexual","Sexual"
"16","124.17.2.0","Pulicaria_dysenterica",339.5,7,"2x","Sexual","Sexual","Sexual"
"17","124.19.1.0","Buphthalmum_salicifolium",1074.8,6,"2x","Sexual","Sexual","Sexual"
"18","124.20.2.0","Xerolekia_speciosissima",801,6,"2x","Sexual","Sexual","Sexual"
"19","124.2.1.0","Solidago_virgaurea",2112.33333333333,7,"2x","Sexual","Sexual","Uncertain"
"20","124.2.1.2","Solidago_virgaurea_subsp._minuta",2553,7,"2x","Sexual","Sexual","Uncertain"
"21","124.23.5.0","Bidens_bipinnatus",145,7,"Poly","Sexual","Sexual","Sexual"
"22","124.27.2.0","Xanthium_orientale_subsp._italicum",345,7,"4x","Sexual","Sexual","Sexual"
"23","124.28.1.0","Galinsoga_parviflora",145,5,"2x","Sexual","Sexual","Sexual"
"24","124.30.7.1","Cota_tinctoria",1607.5,6,"2x","Sexual","Sexual","Sexual"
"25","124.30.8.0","Cota_triumfettii",550,6,"2x","Sexual","Sexual","Sexual"
"26","124.31.1.0","Achillea_oxyloba",2219,7,"2x","Sexual","Sexual","Sexual"
"27","124.31.11.0","Achillea_millefolium",1856.71428571429,5,"Poly","Sexual","Sexual","Sexual"
"28","124.31.19.0","Achillea_nobilis",538,7,"2x","Sexual","Sexual","Sexual"
"29","124.31.2.0","Achillea_erba-rotta",2465,7,"2x","Sexual","Sexual","Sexual"
"30","124.31.3.0","Achillea_nana",2583.66666666667,7,"2x","Sexual","Sexual","Sexual"
"31","124.31.6.0","Achillea_clavennae",2282,6,"2x","Sexual","Sexual","Sexual"
"32","124.32.2.0","Tripleurospermum_inodorum",1176.5,6,"4x","Sexual","Sexual","Sexual"
"33","124.35.2.0","Tanacetum_corymbosum",453,6,"4x","Sexual","Sexual","Uncertain"
"34","124.35.3.0","Tanacetum_parthenium",1356,6,"2x","Sexual","Sexual","Uncertain"
"35","124.37.1.0","Leucanthemopsis_alpina",2512,7,"2x","Sexual","Mixed","Sexual"
"36","124.39.2.0","Leucanthemum_adustum",1923.3,6,"Poly","Sexual","Sexual","Uncertain"
"37","124.39.5.0","Leucanthemum_pallens",1380,5,"Poly","Sexual","Sexual","Uncertain"
"38","124.39.8.0","Leucanthemum_atratum",2378,7,"Poly","Sexual","Sexual","Uncertain"
"39","124.39.8.2","Leucanthemum_halleri",1973,7,"2x","Sexual","Sexual","Uncertain"
"40","124.39.8.3","Leucanthemum_coronopifolium",2271.66666666667,7,"Poly","Sexual","Sexual","Uncertain"
"41","124.40.10.0","Artemisia_umbelliformis_subsp._umbelliformis",2595,7,"4x","Sexual","Sexual","Sexual"
"42","124.40.1.0","Artemisia_vulgaris",894,7,"2x","Sexual","Sexual","Sexual"
"43","124.40.13.0","Artemisia_genipi",2280,7,"2x","Sexual","Sexual","Sexual"
"44","124.40.15.0","Artemisia_glacialis",2120,7,"2x","Sexual","Sexual","Sexual"
"45","124.40.3.0","Artemisia_absinthium",894,7,"2x","Sexual","Sexual","Sexual"
"46","124.41.1.0","Tussilago_farfara",1581,2,"Poly","Sexual","Sexual","Sexual"
"47","124.42.1.0","Petasites_albus",880,3,"2x","Sexual","Sexual","Uncertain"
"48","124.42.3.0","Petasites_paradoxus",657,3,"4x","Sexual","Sexual","Uncertain"
"49","124.43.1.0","Homogyne_alpina",2532,5,"Poly","Sexual","Sexual","Sexual"
"50","124.43.2.0","Homogyne_discolor",2108,6,"4x","Sexual","Sexual","Sexual"
"51","124.43.3.0","Homogyne_sylvestris",1146,5,"4x","Sexual","Sexual","Sexual"
"52","124.44.1.0","Adenostyles_alliariae",1719,6,"4x","Sexual","Sexual","Sexual"
"53","124.44.2.0","Adenostyles_alpina",1710,6,"4x","Sexual","Sexual","Sexual"
"54","124.44.3.0","Adenostyles_leucophylla",2337.75,7,"4x","Sexual","Sexual","Sexual"
"55","124.45.1.0","Arnica_montana",1947.16666666667,6,"4x","Sexual","Sexual","Diplosporous"
"56","124.4.6.0","Aster_alpinus",1863.5,6,"2x","Sexual","Sexual","Sexual"
"57","124.46.1.0","Doronicum_austriacum",1650,6,"2x","Sexual","Sexual","Sexual"
"58","124.46.4.0","Doronicum_pardalianches",282,5,"2x","Sexual","Sexual","Sexual"
"59","124.46.6.0","Doronicum_grandiflorum",2471.11111111111,7,"2x","Sexual","Sexual","Sexual"
"60","124.46.8.0","Doronicum_clusii",2110,7,"4x","Sexual","Sexual","Sexual"
"61","124.4.7.0","Bellidiastrum_michelii",1811,5,"2x","Sexual","Sexual","Sexual"
"62","124.48.14.0","Senecio_doronicum",2135,7,"Poly","Sexual","Sexual","Sexual"
"63","124.48.15.0","Jacobaea_alpina_subsp._alpina",1863,7,"4x","Sexual","Sexual","Sexual"
"64","124.48.18.0","Jacobaea_aquatica",746,6,"4x","Sexual","Sexual","Sexual"
"65","124.48.20.0","Jacobaea_erucifolia",1389.5,6,"4x","Sexual","Sexual","Sexual"
"66","124.48.21.0","Senecio_squalidus_subsp._rupestris",1400,6,"2x","Sexual","Sexual","Sexual"
"67","124.48.2.1","Jacobaea_incana",2428.75,7,"4x","Sexual","Sexual","Sexual"
"68","124.48.22.0","Jacobaea_abrotanifolia_subsp._abrotanifolia",1906.5,7,"4x","Sexual","Sexual","Sexual"
"69","124.48.2.2","Jacobaea_carniolica",2110,7,"Poly","Sexual","Sexual","Sexual"
"70","124.48.26.0","Senecio_viscosus",1612.5,6,"4x","Sexual","Sexual","Sexual"
"71","124.48.8.1","Senecio_ovatus",1380,7,"4x","Sexual","Sexual","Sexual"
"72","124.49.1.0","Tephroseris_integrifolia",1242,5,"4x","Sexual","Sexual","Sexual"
"73","124.51","Calendula_tripterocarpa",1233,4,"4x","Sexual","Sexual","Sexual"
"74","124.52.4.1","Carlina_acaulis",1582.5,6,"2x","Sexual","Sexual","Sexual"
"75","124.52.5.0","Carlina_acanthifolia",1133,7,"2x","Sexual","Sexual","Sexual"
"76","124.53.1.0","Xeranthemum_annuum",920,6,"2x","Sexual","Sexual","Sexual"
"77","124.54.2.0","Echinops_exaltatus",306,6,"2x","Sexual","Sexual","Sexual"
"78","124.54.3.0","Echinops_ritro",1204,7,"2x","Sexual","Sexual","Sexual"
"79","124.55.1.0","Berardia_lanuginosa",1961,7,"4x","Sexual","Sexual","Sexual"
"80","124.56.2.0","Arctium_lappa",1067.5,7,"2x","Sexual","Sexual","Sexual"
"81","124.56.3.0","Arctium_minus",1638,7,"2x","Sexual","Sexual","Sexual"
"82","124.57.2.1","Saussurea_alpina",2745,7,"4x","Sexual","Sexual","Sexual"
"83","124.58.1.0","Staehelina_dubia",609,5,"2x","Sexual","Sexual","Sexual"
"84","124.60.4.0","Carduus_personata",1623,7,"2x","Sexual","Sexual","Sexual"
"85","124.60.5.0","Carduus_crispus",667,7,"2x","Sexual","Sexual","Sexual"
"86","124.60.9.0","Carduus_defloratus",1850,7,"2x","Sexual","Sexual","Sexual"
"87","124.60.9.5","Carduus_defloratus_subsp._summanus",695,7,"2x","Sexual","Sexual","Sexual"
"88","124.61.10.0","Cirsium_carniolicum",1284,6,"2x","Sexual","Sexual","Sexual"
"89","124.61.11.0","Cirsium_oleraceum",553,7,"2x","Sexual","Sexual","Sexual"
"90","124.61.12.0","Cirsium_spinosissimum",2504.5,7,"2x","Sexual","Sexual","Sexual"
"91","124.61.13.0","Cirsium_acaulon",1857.25,7,"2x","Sexual","Sexual","Sexual"
"92","124.61.14.0","Cirsium_heterophyllum",1908,6,"2x","Sexual","Sexual","Sexual"
"93","124.61.15.0","Cirsium_pannonicum",453,5,"2x","Sexual","Sexual","Sexual"
"94","124.61.17.0","Cirsium_monspessulanum",1263.33333333333,6,"2x","Sexual","Sexual","Sexual"
"95","124.61.19.0","Cirsium_arvense",1613,7,"2x","Sexual","Sexual","Sexual"
"96","124.61.3.0","Cirsium_eriophorum",1716,6,"2x","Sexual","Sexual","Sexual"
"97","124.61.4.0","Cirsium_vulgare",1440,6,"2x","Sexual","Sexual","Sexual"
"98","124.61.5.0","Cirsium_tuberosum",1289,6,"2x","Sexual","Sexual","Sexual"
"99","124.61.6.0","Cirsium_rivulare",736,6,"2x","Sexual","Sexual","Sexual"
"100","124.61.7.0","Cirsium_alsophilum",1395.5,6,"2x","Sexual","Sexual","Sexual"
"101","124.61.8.0","Cirsium_erisithales",394.5,6,"2x","Sexual","Sexual","Sexual"
"102","124.6.2.0","Erigeron_karvinskianus",881,4,"4x","Apomictic","Apomictic","Apo-diplosporous"
"103","124.63.1.0","Onopordum_acanthium",420,7,"2x","Sexual","Sexual","Sexual"
"104","124.6.3.1","Erigeron_acris_subsp._acris",1697.5,6,"2x","Sexual","Sexual","Apo-diplosporous"
"105","124.6.4.0","Erigeron_atticus",2378,7,"2x","Sexual","Sexual","Apo-diplosporous"
"106","124.6.5.0","Erigeron_schleicheri",1935.5,7,"2x","Sexual","Sexual","Apo-diplosporous"
"107","124.65.1.0","Serratula_tinctoria",806,7,"2x","Sexual","Sexual","Sexual"
"108","124.6.6.0","Erigeron_alpinus",2135.5,7,"2x","Sexual","Sexual","Apo-diplosporous"
"109","124.67.1.0","Rhaponticum_scariosum",1933,6,"2x","Sexual","Sexual","Sexual"
"110","124.68.14.0","Centaurea_margaritacea",274,7,"2x","Sexual","Sexual","Sexual"
"111","124.68.16.3","Centaurea_jacea_subsp._gaudinii",731.5,6,"4x","Sexual","Sexual","Sexual"
"112","124.68.17.0","Centaurea_jacea",930,5,"4x","Sexual","Sexual","Sexual"
"113","124.68.24.0","Centaurea_uniflora",1837.33333333333,7,"2x","Sexual","Sexual","Sexual"
"114","124.68.25.0","Centaurea_nervosa",1846.5,7,"2x","Sexual","Sexual","Sexual"
"115","124.68.28.0","Centaurea_rhaetica",738,6,"2x","Sexual","Sexual","Sexual"
"116","124.68.29.0","Cyanus_montanus",1815.5,5,"4x","Sexual","Sexual","Sexual"
"117","124.68.30.0","Cyanus_triumfettii",413,5,"2x","Sexual","Sexual","Sexual"
"118","124.68.31.0","Cyanus_segetum",1096,5,"2x","Sexual","Sexual","Sexual"
"119","124.68.5.2","Centaurea_scabiosa_subsp._alpestris",1692,6,"4x","Apomictic","Mixed","Sexual"
"120","124.68.5.5","Centaurea_scabiosa_subsp._grinensis",417,6,"2x","Sexual","Sexual","Sexual"
"121","124.68.7.0","Centaurea_leucophaea",1233,6,"2x","Sexual","Sexual","Sexual"
"122","124.68.9.0","Centaurea_valesiaca",663,7,"2x","Sexual","Sexual","Sexual"
"123","124.6.9.0","Erigeron_uniflorus",2713,7,"2x","Sexual","Sexual","Apo-diplosporous"
"124","124.7.1.0","Erigeron_canadensis",468,6,"2x","Sexual","Sexual","Apo-diplosporous"
"125","124.7.3.0","Erigeron_bonariensis",604,6,"Poly","Sexual","Sexual","Apo-diplosporous"
"126","124.75.1.0","Catananche_caerulea",1507,7,"2x","Sexual","Sexual","Sexual"
"127","124.80.1.0","Aposeris_foetida",1269,6,"2x","Sexual","Sexual","Sexual"
"128","124.82.1.0","Hypochaeris_maculata",1764.66666666667,5,"2x","Sexual","Sexual","Sexual"
"129","124.82.2.0","Hypochaeris_uniflora",2176.66666666667,7,"2x","Sexual","Sexual","Sexual"
"130","124.82.5.0","Hypochaeris_radicata",328,5,"2x","Sexual","Sexual","Sexual"
"131","124.83.2.0","Scorzoneroides_crocea",1777.5,7,"2x","Sexual","Sexual","Sexual"
"132","124.83.3.1","Scorzoneroides_montana",2386,7,"4x","Sexual","Sexual","Sexual"
"133","124.83.4.0","Scorzoneroides_autumnalis",1950,6,"2x","Sexual","Sexual","Sexual"
"134","124.83.5.0","Leontodon_hispidus",1890,6,"2x","Sexual","Sexual","Sexual"
"135","124.83.7.0","Leontodon_crispus",1772,5,"2x","Sexual","Sexual","Sexual"
"136","124.83.8.2","Leontodon_tenuiflorus",618,4,"2x","Sexual","Sexual","Sexual"
"137","124.84.2.1","Picris_hieracioides",885,6,"2x","Apomictic","Mixed","Uncertain"
"138","124.85.6.0","Scorzonera_humilis",978,5,"2x","Sexual","Sexual","Sexual"
"139","124.86.3.0","Tragopogon_dubius",919,5,"2x","Sexual","Sexual","Sexual"
"140","124.86.4.0","Tragopogon_pratensis",1906.75,5,"2x","Sexual","Sexual","Sexual"
"141","124.89.3.0","Lactuca_serriola",758.5,7,"4x","Sexual","Sexual","Sexual"
"142","124.89.7.0","Lactuca_perennis",1852,5,"2x","Sexual","Sexual","Sexual"
"143","124.90.1.0","Lactuca_alpina",1537.5,6,"2x","Sexual","Sexual","Sexual"
"144","124.91.1.0","Prenanthes_purpurea",1289,7,"2x","Sexual","Sexual","Sexual"
"145","124.92.1.0","Lactuca_muralis",1510.5,7,"2x","Sexual","Sexual","Sexual"
"146","124.93.15.0","Taraxacum_officinale",1602,4,"3x","Apomictic","Apomictic","Diplosporous"
"147","124.94.1.0","Chondrilla_juncea",600,6,"3x","Apomictic","Apomictic","Diplosporous"
"148","124.97.10.0","Crepis_conyzifolia",2003,6,"2x","Sexual","Sexual","Aposporous"
"149","124.97.1.0","Crepis_paludosa",1262.5,6,"2x","Sexual","Sexual","Aposporous"
"150","124.97.11.0","Crepis_pyrenaica",1906,6,"2x","Sexual","Sexual","Aposporous"
"151","124.97.19.0","Crepis_tectorum",324,5,"2x","Sexual","Sexual","Aposporous"
"152","124.97.2.0","Crepis_pygmaea",2576.5,7,"2x","Sexual","Sexual","Aposporous"
"153","124.97.24.0","Crepis_capillaris",423,6,"2x","Sexual","Sexual","Aposporous"
"154","124.97.27.1","Crepis_vesicaria",1063,5,"2x","Apomictic","Mixed","Aposporous"
"155","124.97.3.0","Crepis_terglouensis",2270,7,"2x","Sexual","Sexual","Aposporous"
"156","124.97.6.0","Crepis_rhaetica",2788,7,"2x","Sexual","Sexual","Aposporous"
"157","124.97.7.0","Crepis_aurea",2601,6,"2x","Sexual","Sexual","Aposporous"
"158","124.97.9.0","Crepis_pontana",2087,6,"2x","Sexual","Sexual","Aposporous"
"159","124.99.10.0","Pilosella_piloselloides",243,5,"4x","Sexual","Sexual","Aposporous"
"160","124.99.1.0","Tolpis_staticifolia",1831,6,"2x","Sexual","Sexual","Sexual"
"161","124.99.16.0","Hieracium_murorum",1747.5,5,"3x","Apomictic","Apomictic","Diplosporous"
"162","124.99.18.0","Hieracium_bifidum",348,6,"3x","Apomictic","Apomictic","Diplosporous"
"163","124.99.2.0","Pilosella_hoppeana",2149,5,"2x","Sexual","Sexual","Aposporous"
"164","124.99.23.0","Hieracium_lawsonii",2560,6,"3x","Apomictic","Apomictic","Diplosporous"
"165","124.99.24.0","Hieracium_villosum",1880.66666666667,7,"3x","Apomictic","Apomictic","Diplosporous"
"166","124.99.26.0","Hieracium_piliferum",1940.5,7,"3x","Apomictic","Apomictic","Diplosporous"
"167","124.99.28.0","Hieracium_tomentosum",1421,5,"3x","Apomictic","Apomictic","Diplosporous"
"168","124.99.29.0","Hieracium_alpinum",2036,7,"3x","Apomictic","Apomictic","Diplosporous"
"169","124.99.30.0","Hieracium_humile",1514,6,"3x","Apomictic","Apomictic","Diplosporous"
"170","124.99.3.0","Pilosella_peleteriana",2044,5,"2x","Sexual","Sexual","Aposporous"
"171","124.99.31.0","Hieracium_amplexicaule",1953.5,5,"3x","Apomictic","Apomictic","Diplosporous"
"172","124.99.32.0","Schlagintweitia_intybacea",2383,7,"2x","Sexual","Sexual","Sexual"
"173","124.99.37.0","Hieracium_prenanthoides",1380,6,"2x","Sexual","Sexual","Diplosporous"
"174","124.99.4.0","Pilosella_officinarum",997,5,"4x","Apomictic","Apomictic","Aposporous"
"175","124.99.7.0","Pilosella_lactucella",2184,5,"2x","Sexual","Sexual","Aposporous"
"176","124.99.8.0","Pilosella_glacialis",2119,7,"2x","Sexual","Sexual","Aposporous"
"177","124.99","Hieracium_cydoniifolium",1847,7,"3x","Apomictic","Apomictic","Diplosporous"
"178","124.99","Hieracium_froelichianum",1985,7,"3x","Apomictic","Apomictic","Diplosporous"
"179","124.99","Hieracium_glaucopsis",1890,7,"3x","Apomictic","Apomictic","Diplosporous"
"180","124.99","Hieracium_valdepilosum",1954,7,"3x","Apomictic","Apomictic","Diplosporous"
"181","124.99","Schlagintweitia_huteri_subsp._lantoscana",2354,7,"2x","Sexual","Sexual","Sexual"
